Artwork Name,Creator,Total Images,Small Images,Percentage,Slug,Artwork ID
"Bowl, 2014","Aino Nebel",2,2,100%,"image-2088","MnHq3gipaho0Iv07wn0bKc"
"Bowl, 2014","Aino Nebel",2,2,100%,"image-2132","MnHq3gipaho0Iv07wn0bPh"
"Bowl, 2015","Aino Nebel",2,2,100%,"image-2133","MnHq3gipaho0Iv07wn0bUm"
"Bowl, 2015","Aino Nebel",2,2,100%,"image-2140","MnHq3gipaho0Iv07wn0bZr"
"Delft","Aino Nebel",2,2,100%,"aino-nebel-delft-2015-porzellan-b-30cm","5Nnn2PqcEKG4dqRP9jCqDa"
"Kupferschale","Aino Nebel",2,2,100%,"aino-nebel-artwork-wn0c4l","MnHq3gipaho0Iv07wn0c4L"
"Plissee","Aino Nebel",2,2,100%,"aino-nebel-plissee-2015-porzellan-h-45-cm","5Nnn2PqcEKG4dqRP9jCq4I"
"Thin Tin","Aino Nebel",2,2,100%,"aino-nebel-thin-tin-2015-porzellan-b-15-cm","MnHq3gipaho0Iv07wn0bFX"
"Thin Tins","Aino Nebel",2,2,100%,"aino-nebel-thin-tins-2015-porzellan-h-6-30-cm","5Nnn2PqcEKG4dqRP9jCpze"
"Twist","Aino Nebel",2,2,100%,"aino-nebel-twist-2015-porzellan-h-25-cm","5Nnn2PqcEKG4dqRP9jCq8w"
"Wäschestück","Aino Nebel",2,2,100%,"aino-nebel-artwork-wn0bzg","MnHq3gipaho0Iv07wn0bzG"
"Bermuda","Angela Huebel",2,2,100%,"angela-huebel","hEWOpVV05Nk2Wkv6vKsLcF"
"Bond Wide","Angela Huebel",2,2,100%,"2014-tr-bond-breit-s-angela-huebel-ring","hEWOpVV05Nk2Wkv6vKsMJn"
"Cinque","Angela Huebel",2,2,100%,"angela-huebel-cinque-brillant","hEWOpVV05Nk2Wkv6vKsLtf"
"Domino","Angela Huebel",2,2,100%,"angela-huebel-schmuckdesign-ring-domino","hEWOpVV05Nk2Wkv6vKsLKp"
"Feuerwerk","Angela Huebel",2,2,100%,"angela-huebel-schmuckdesign-ring-feuerwerk","hEWOpVV05Nk2Wkv6vKsLPB"
"Liaison 1","Angela Huebel",2,2,100%,"angela-huebel-schmuckdesign-3154-liaison-1-mit-brillanten","hEWOpVV05Nk2Wkv6vKsLgb"
"Magic Sunshine","Angela Huebel",2,2,100%,"angela-huebel-magic-sunshine-amethyst","hEWOpVV05Nk2Wkv6vKsLy1"
"Mondschein","Angela Huebel",2,2,100%,"angela-huebel-schmuckdesign-3099-mondschein-mit-mondstein-gruen","hEWOpVV05Nk2Wkv6vKsLkx"
"Navette","Angela Huebel",2,2,100%,"angela-huebel-schmuckdesign-anhaenger-navette-schmal","hEWOpVV05Nk2Wkv6vKsLXt"
"Perl-Insel","Angela Huebel",2,2,100%,"angela-huebel-perl-insel-tahitiperle","hEWOpVV05Nk2Wkv6vKsM2N"
"Regatta","Angela Huebel",2,2,100%,"angela-huebel-regatta-tourmalin","hEWOpVV05Nk2Wkv6vKsM6j"
"Schatzinsel","Angela Huebel",2,2,100%,"angela-huebel-schmuckdesign-3128-schatzinsel-peridot","hEWOpVV05Nk2Wkv6vKsLpJ"
